t,date,qua
遊行,2019/7/16,33
遊行,2019/7/17,30
遊行,2019/7/18,63
遊行,2019/7/19,23
遊行,2019/7/20,50
遊行,2019/7/21,148
遊行,2019/7/22,131
中共,2019/6/5,262
中共,2019/6/6,197
中共,2019/6/7,295
中共,2019/6/8,211
中共,2019/6/9,222
中共,2019/6/10,322
中共,2019/6/11,258
中共,2019/6/12,388
中共,2019/6/13,406
中共,2019/6/14,282
中共,2019/6/15,335
中共,2019/6/16,400
中共,2019/6/17,366
中共,2019/6/18,231
中共,2019/6/19,265
中共,2019/6/20,239
中共,2019/6/21,220
中共,2019/6/22,174
中共,2019/6/23,297
中共,2019/6/24,282
中共,2019/6/25,221
中共,2019/6/26,217
中共,2019/6/27,371
中共,2019/6/28,274
中共,2019/6/29,216
中共,2019/6/30,201
中共,2019/7/1,198
中共,2019/7/2,180
中共,2019/7/3,167
中共,2019/7/4,278
中共,2019/7/5,279
中共,2019/7/6,279
中共,2019/7/7,188
中共,2019/7/8,180
中共,2019/7/9,235
中共,2019/7/10,163
中共,2019/7/11,112
中共,2019/7/12,141
中共,2019/7/13,201
中共,2019/7/14,176
中共,2019/7/15,242
中共,2019/7/16,252
中共,2019/7/17,260
中共,2019/7/18,184
中共,2019/7/19,155
中共,2019/7/20,144
中共,2019/7/21,374
中共,2019/7/22,37
元朗,2019/6/5,0
元朗,2019/6/6,0
元朗,2019/6/7,0
元朗,2019/6/8,0
元朗,2019/6/9,0
元朗,2019/6/10,0
元朗,2019/6/11,0
元朗,2019/6/12,0
元朗,2019/6/13,0
元朗,2019/6/14,0
元朗,2019/6/15,0
元朗,2019/6/16,0
元朗,2019/6/17,0
元朗,2019/6/18,0
元朗,2019/6/19,0
元朗,2019/6/20,0
元朗,2019/6/21,0
元朗,2019/6/22,0
元朗,2019/6/23,0
元朗,2019/6/24,0
元朗,2019/6/25,0
元朗,2019/6/26,0
元朗,2019/6/27,0
元朗,2019/6/28,0
元朗,2019/6/29,0
元朗,2019/6/30,0
元朗,2019/7/1,0
元朗,2019/7/2,0
元朗,2019/7/3,0
元朗,2019/7/4,0
元朗,2019/7/5,0
元朗,2019/7/6,0
元朗,2019/7/7,0
元朗,2019/7/8,0
元朗,2019/7/9,0
元朗,2019/7/10,0
元朗,2019/7/11,0
元朗,2019/7/12,0
元朗,2019/7/13,0
元朗,2019/7/14,0
元朗,2019/7/15,0
元朗,2019/7/16,0
元朗,2019/7/17,0
元朗,2019/7/18,0
元朗,2019/7/19,0
元朗,2019/7/20,0
元朗,2019/7/21,3
元朗,2019/7/22,274
立法會,2019/6/5,0
立法會,2019/6/6,0
立法會,2019/6/7,4
立法會,2019/6/8,1
立法會,2019/6/9,37
立法會,2019/6/10,95
立法會,2019/6/11,126
立法會,2019/6/12,370
立法會,2019/6/13,121
立法會,2019/6/14,59
立法會,2019/6/15,60
立法會,2019/6/16,43
立法會,2019/6/17,19
立法會,2019/6/18,16
立法會,2019/6/19,7
立法會,2019/6/20,21
立法會,2019/6/21,28
立法會,2019/6/22,15
立法會,2019/6/23,4
立法會,2019/6/24,2
立法會,2019/6/25,8
立法會,2019/6/26,1
立法會,2019/6/27,6
立法會,2019/6/28,1
立法會,2019/6/29,8
立法會,2019/6/30,217
立法會,2019/7/1,160
立法會,2019/7/2,75
立法會,2019/7/3,21
立法會,2019/7/4,31
立法會,2019/7/5,25
立法會,2019/7/6,20
立法會,2019/7/7,8
立法會,2019/7/8,19
立法會,2019/7/9,2
立法會,2019/7/10,0
立法會,2019/7/11,4
立法會,2019/7/12,8
立法會,2019/7/13,6
立法會,2019/7/14,7
立法會,2019/7/15,7
立法會,2019/7/16,3
立法會,2019/7/17,10
立法會,2019/7/18,17
立法會,2019/7/19,4
立法會,2019/7/20,11
立法會,2019/7/21,42
立法會,2019/7/22,
立法會,2019/7/16,
立法會,2019/7/17,
立法會,2019/7/18,
立法會,2019/7/19,
立法會,2019/7/20,
立法會,2019/7/21,
立法會,2019/7/22,
