title,createdAt,qua
七月一日，香港歷史性的一夜。,2019-07-01,28
【香港版太陽花】請大家，不要那麼快忘記香港,2019-07-01,28
香港各界譴責沖擊立法會暴行,2019-07-02,14
港版太陽花？黃國昌：不認為,2019-07-02,14
香港示威者的團結精神令人敬佩,2019-07-02,14
是否要對香港採取霹靂手段？,2019-07-02,14
震撼！新黨參戰2020總統 財經主持人楊世光上陣,2019-07-02,14
香港人發表《香港抗爭宣言》,2019-07-02,14
蔡英文：自由的台灣，撐香港的自由<U+0001F4AA>,2019-07-02,14
對最近的暴力衝擊，國務院港澳辦和特區政府嚴正表態,2019-07-02,14
捷克把8台籍電信詐欺犯「送中」　22歲嫌求不引渡：將與爸媽天人永隔,2019-07-02,14
香港反送中資訊更新,2019-07-02,14
#討論 反送中的本質就是反中共去香港化,2019-07-02,14
詢問 還有人在關心香港嗎,2019-07-02,14
#新聞 國民黨：香港「一國兩制」失敗　籲一中各表維護台生存,2019-07-02,14
2020總統大選  我拒絕含淚投蔡英文(part2),2019-07-02,14
香港示威者嘗試自殺,2019-07-03,7
兩岸關係與媒體還有我們,2019-07-03,7
香港人該認清事實了,2019-07-03,7
防棄保潛逃 防逃機制修法立院三讀,2019-07-03,7
香港歷史無時無刻都被在竄改,2019-07-03,7
在香港生活35年的英國人談暴徒抗議,2019-07-03,7
香港<U+0001F1ED><U+0001F1F0>網路攻擊,2019-07-03,7
因暴力<U+51B2><U+51FB>立法<U+4F1A>，香港警方拘捕11男1女 被拘捕者涉嫌<U+88AD>警等罪行,2019-07-04,8
洋爹：香港歷史無時無刻都被在竄改,2019-07-04,8
2020 如果是韓蔡對決怎麼辦,2019-07-04,8
這個殺鐵道警的人要送中嗎？,2019-07-04,8
香港加油,2019-07-04,8
香港抗議送中十分正確 在法理上也沒有問題,2019-07-04,8
香港立法會變這樣，暴徒竟連餐廳、電腦硬盤、個人儲物櫃都洗劫,2019-07-04,8
在香港反送中路上，每一個為香港的他她,2019-07-04,8
香港,2019-07-05,1
『香港』在各位正要入睡的這個時候...,2019-06-26,1
香港反送中持續進行！,2019-06-27,3
耐吉設計師挺「反送中」 被迫取消在中國銷售運動鞋,2019-06-27,3
香港近況2 //回應反紅媒及長遠的重要性,2019-06-27,3
香港警察濫權迷因,2019-06-28,3
香港也還在努力,2019-06-28,3
#新聞 當世界的香港變成中國的香港…三位中、港、台背景的一手告白,2019-06-28,3
關於香港現況,2019-06-29,8
為什麼沒人要造勢？？,2019-06-29,8
港臺同行。北車快閃,2019-06-29,8
挺反送中<U+0001F919>～台灣應對中國商品加增懲罰性關稅,2019-06-29,8
香港又一名女學生跳樓,2019-06-29,8
2020總統大選,2019-06-29,8
粉嶺21歲大學生留「反送中」字句後墮樓亡,2019-06-29,8
"港獨都開始讀<毛選>了,你們什麼時候跟進?",2019-06-29,8
#新聞 香港反送中 音樂系女大學生跳樓抗爭死亡,2019-06-30,7
2020希望有更好的選擇,2019-06-30,7
港仔看過來#平衡報導,2019-06-30,7
香港又出大事了？？,2019-06-30,7
香港反送中後續,2019-06-30,7
17萬香港市民上街撐警！還有梁家輝、譚詠麟、鐘鎮濤…,2019-06-30,7
[香港反送中]已移居台灣 退休總警司來港支持黑警集會,2019-06-30,7
台灣反紅媒遊行，香港有人在關注嗎?,2019-06-23,3
港警：我們有選擇嗎（？）,2019-06-23,3
香港。,2019-06-23,3
#送中 西班牙送台詐欺犯給中國,2019-06-24,9
『港台連線』香港連登推爆台灣反共媒遊行,2019-06-24,9
反送中事件,2019-06-24,9
我是香港人 支持台灣反紅媒,2019-06-24,9
台灣加油！香港的我們也會努力！,2019-06-24,9
香港最強文宣多國語言版本,2019-06-24,9
香港警察是哪裡人？,2019-06-24,9
#轉 反送中：亡國感敲門向你我要什麼,2019-06-24,9
香港反對派的醜陋嘴臉,2019-06-24,9
香港人沒有忘記台灣 我們都很關心你,2019-06-25,4
[轉貼自連登] 香港被送中誓要成G20話題 眾籌各國報章頭版公開信,2019-06-25,4
#新聞 為什麼香港百萬人抗議，中國也不敢大動作鎮壓？,2019-06-25,4
港仔們<U+0001F525>美國來幫香港了,2019-06-25,4
反送中的真相,2019-06-19,1
香港那個ig,2019-06-20,2
反送中動畫！,2019-06-20,2
五毛參與香港,2019-06-21,4
香港未來，成也DCARD，敗也DCARD,2019-06-21,4
香港人都挺身而出了，我們也可以用我們的方式幫助他們,2019-06-21,4
香港警察散佈假新聞！！,2019-06-21,4
來關心一下台灣版送中,2019-06-22,3
昨日香港，今日國魚,2019-06-22,3
國際特赦組織證香港警察過份使用暴力，並發起全球聯署,2019-06-22,3
香港因為送中條例 已經有義士過身,2019-06-16,37
香港反送中 台灣人已經被送中了,2019-06-16,37
給那位在香港的台灣女孩,2019-06-16,37
今日香港 不會是明日臺灣！,2019-06-16,37
難道在香港言論自由也是這樣的奢侈？一位香港中學生對於香港政府的控訴,2019-06-16,37
跟你的香港朋友約吃飯,2019-06-16,37
如果你聽膩了反送中遊行，不妨來關注一下鐵籠公投,2019-06-16,37
中華電信MOD 反 反送中？,2019-06-16,37
反送中？大腸花？,2019-06-16,37
大家覺得反送中會持續到什麼時候呢,2019-06-16,37
關於韓對送中條例的聲明所談的三點堅持 - 我的看法,2019-06-16,37
反送中撤惡法5大訴求、估計144萬人次今日下午再上街頭、抗議大遊行！,2019-06-16,37
香港<U+51B3>定<U+6682><U+7F13>修<U+8BA2>《逃犯<U+6761>例》！港澳<U+529E>、外交部回<U+5E94>,2019-06-16,37
香港反送中6/16遊行 持續更新,2019-06-16,37
給香港一個respect,2019-06-16,37
支持香港政府修逃犯條例,2019-06-16,37
支持香港反送中,2019-06-16,37
#FB 眼球中央電視台 香港交通已癱瘓,2019-06-16,37
香港反送中，各位現在在幹嘛,2019-06-16,37
香港特首宣布停止修訂《逃犯條例》,2019-06-16,37
臺港混血的想法,2019-06-16,37
停止修訂逃犯條例 無重啟程序時間表,2019-06-16,37
香港政府針對今天的遊行出的新聞稿,2019-06-16,37
評論：香港616黑衣反送中行動--一場成功的社會運動,2019-06-16,37
台灣與香港的差別,2019-06-16,37
香港人的和平和團結,2019-06-16,37
香港616反送中遊行,2019-06-16,37
關於反送中這件事情的原委,2019-06-16,37
增照片：香港就4屌!!200萬＋1人上街「再次反送中」和平示威，沒有警民衝突，創紀錄！遊行已超過8小時。,2019-06-16,37
反送中 媒體  投票  你2020要投誰!!?,2019-06-16,37
香港條例臨陣脫逃?,2019-06-16,37
全球聯署【反送中 民意不可欺 為香港企硬】Global Signing: Against Extradition to China,2019-06-16,37
蓬佩奧：G20峰會川普將與習近平談香港抗議事件,2019-06-16,37
如果說有什麼可以分開反送中的人潮,2019-06-16,37
香港228？,2019-06-16,37
託管與不託管香港,2019-06-16,37
為什麼台灣要支持香港反送中？,2019-06-16,37
#HK 反送中 每個人都這樣想嗎,2019-06-17,18
最新 香港八大院校罷課,2019-06-17,18
更: 台灣眾人平安！-反送中最新情況！港警十面圍城！,2019-06-17,18
昨日台灣  今日香港  只是台灣選民健忘,2019-06-17,18
香港反送中示威群眾為救護車開道,2019-06-17,18
鐵幕香港,2019-06-17,18
反送中條例,2019-06-17,18
香港千人包圍特首辦公室！！！,2019-06-17,18
＃討論 假如今天是反中國大遊行,2019-06-17,18
影／王義川批支持一國兩制 沈智慧提告：支持反送中,2019-06-17,18
臺灣女孩：「反送中是皇民奴性」,2019-06-17,18
晚安香港 (分享文慎入),2019-06-17,18
反送中改編歌曲《罪犯轉移》（惡搞勿噴）,2019-06-17,18
我支持反送中，但這跟投蔡英文有什麼關係？,2019-06-17,18
今日香港已成今日台灣！,2019-06-17,18
街訪台灣年輕人這樣看反送中,2019-06-17,18
香港朋友希望大家幫幫忙,2019-06-17,18
香港反送中 遊行人數200萬+1,2019-06-17,18
反送中/事件延燒林鄭月娥還真當妳嫦娥是嗎還政常發揮三小Bear!,2019-06-18,6
那些為“反送中”發聲的香港藝人<U+0001F622>,2019-06-18,6
更) 香港現況 / 4大訴求 /警方6.12蓄意謀殺示威者,2019-06-18,6
今日香港明日台灣？維尼監控中,2019-06-18,6
反送中，日本讀賣報2019/06/18報導,2019-06-18,6
全香港人對台灣都友善?看看這些香港人怎麼污辱台灣人 ㄏㄏ支持香港zzzz,2019-06-18,6
香港第一位為反送中而犧牲的人,2019-06-15,49
香港反送中｜那些媒體沒報出來讓你看到的反送中事件影片,2019-06-15,49
反送中看出人性本惡？,2019-06-15,49
反送中到底乾我何事？,2019-06-15,49
臺灣人去香港,2019-06-15,49
港媒：港府下午宣佈暫緩修訂逃犯條例,2019-06-15,49
支持香港不等於支持蔡英文啊,2019-06-15,49
北部反送中專頁和星期日立法院撐香港,2019-06-15,49
反中還是反送中,2019-06-15,49
612反送中。「暴徒」一天紀錄,2019-06-15,49
Toyz 無感香港政事,2019-06-15,49
在澳留學生一起挺反送中,2019-06-15,49
當初《逃犯條例》沒加進中國，根本不是港府說的「漏洞」,2019-06-15,49
香港真的不是一個國家,2019-06-15,49
最清楚解釋反送中的影片<U+0001F447><U+0001F447><U+0001F447>,2019-06-15,49
一封香港人給全台灣人的反送中公開信,2019-06-15,49
香港人想對台灣說的話—新聞留言,2019-06-15,49
罷工罷課救香港？,2019-06-15,49
快訊》香港特首林鄭月娥親上火線！宣布《逃犯條例》修法暫緩。,2019-06-15,49
＃新聞 林鄭宣佈正式暫緩逃犯條例,2019-06-15,49
逃犯條例通過後的香港生活,2019-06-15,49
反送人懶人包,2019-06-15,49
撐香港。在臺中。反送中。,2019-06-15,49
香港當局立場人士呼籲進行慎重應對,2019-06-15,49
香港特首林鄭月娥：都是台灣的錯！,2019-06-15,49
