"","title","createdAt"
"1","香港教協宣布本周全港罷課!!","2019-06-12T09:06:14.508Z"
"2","什麼狗屁中國人狗屁共產黨","2019-06-12T09:04:09.004Z"
"3","美國眾議院議長反對香港的引渡法","2019-06-12T09:01:32.919Z"
"4","今a日台灣，明a日香港－現在的香港，很有可能就是1947年2月28日前夕的台灣島","2019-06-12T08:59:34.975Z"
"5","今日香港 明日臺灣","2019-06-12T08:56:00.381Z"
"6","侯友宜震怒撤換淡水分局長：兄弟在衝鋒陷陣，你卻在看螢幕！","2019-06-12T08:55:32.071Z"
"7","今日香港今日台灣","2019-06-12T08:54:40.901Z"
"8","快訊》反送中抗議不斷升溫 傳示威者頭部中槍昏迷（現在還有記者被射瞎眼）","2019-06-12T08:52:28.188Z"
"9","靠一台無人機 環保署揪「十年來最誇張」淤泥濫排案","2019-06-12T08:47:27.451Z"
"10","抓蟲護台灣　發現秋行軍蟲快快通報!!","2019-06-12T08:47:17.260Z"
"11","香港  警民抗爭","2019-06-12T08:46:29.979Z"
"12","正在香港發生的事情，想讓台灣人知道（持續更新中）","2019-06-12T08:45:49.358Z"
"13","香港加油<U+0001F4AA>（持續更新）","2019-06-12T08:43:29.937Z"
"14","政大告毀損 鋸蔣銅像馬腳學生遭起訴","2019-06-12T08:29:44.705Z"
"15","快訊／港警開槍放催淚彈！　抗議現場爆發正面交鋒","2019-06-12T08:22:48.530Z"
"16","香港警方開始丟擲催淚彈及射擊橡膠子彈","2019-06-12T08:19:39.961Z"
"17","台灣內政不需要香港人指點","2019-06-12T08:18:29.721Z"
"18","香港人對於「反送中」的看法 by雞排妹的IG","2019-06-12T08:05:51.226Z"
"19","我要參選2020總統大選","2019-06-12T08:05:13.339Z"
"20","批黃國昌趁初選背刺小英 王浩宇嗆：想選總統早點說","2019-06-12T07:58:40.442Z"
"21","關於送中條例一點小疑問","2019-06-12T07:57:20.752Z"
"22","為什麼支持統一會被圍剿","2019-06-12T07:52:31.809Z"
"23","高雄馬路","2019-06-12T07:40:05.872Z"
"24","國台辦對柯P兩岸關係態度表示讚賞","2019-06-12T07:36:57.321Z"
"25","#香港 #微博 #厲害嘍我的國","2019-06-12T07:36:12.183Z"
"26","今日香港，明日台灣","2019-06-12T07:30:08.771Z"
"27","香港見證一國兩制失敗 國台辦：在台灣會考慮台灣現實","2019-06-12T07:28:55.140Z"
"28","首爾市在地方自治團體中率先成立「小商工人政策研究中心」","2019-06-12T07:28:41.775Z"
"29","聽聽不同聲音，韓總的發文","2019-06-12T07:26:14.244Z"
"30","韓天新聞，一直報導一直爽","2019-06-12T07:21:58.572Z"
"31","市長，你害我覺得好丟臉","2019-06-12T10:39:18.706Z"
"32","民主很脆弱，統一很近","2019-06-12T10:38:35.007Z"
"33","討厭我沒辦法投票","2019-06-12T10:37:02.766Z"
"34","香港目前黑警慘無人道","2019-06-12T10:29:16.262Z"
"35","希望大家多關心弱勢","2019-06-12T10:28:24.250Z"
"36","很重要嗎..？","2019-06-12T10:23:04.003Z"
"37","韓國瑜關心弱勢扮家事服務員送暖","2019-06-12T10:22:24.545Z"
"38","你也落入蔡英文陷阱了嗎？","2019-06-12T10:21:17.386Z"
"39","高雄市觀光局去香港宣傳觀光？？","2019-06-12T10:07:54.155Z"
"40","#更直播 拜託高調！！香港政府開始鎮壓！","2019-06-12T10:05:15.621Z"
"41","香港示威者被警方用槍打中受傷（圖）","2019-06-12T10:04:51.325Z"
"42","[緊急] 溫水煮青蛙 - 台灣進行式","2019-06-12T10:01:46.868Z"
"43","高志鵬申請外役監服刑 矯正署准了","2019-06-12T09:59:01.150Z"
"44","美議員欲邀蔡英文到美國國會演講 國台辦：堅決反對","2019-06-12T09:56:40.117Z"
"45","[612關注組]〔僑生看過來〕香港僑生關注逃犯條款文宣戰TG群組","2019-06-12T09:56:32.422Z"
"46","淺白的  逃犯條例修法會怎樣","2019-06-12T09:55:56.789Z"
"47","覺得有一件事很奇怪","2019-06-12T09:53:13.895Z"
"48","台媒稱台軍可用毒氣彈襲擊大陸 國台辦:瘋狂言論","2019-06-12T09:51:52.015Z"
"49","這是平行世界嗎<U+0001F914>","2019-06-12T09:45:57.902Z"
"50","今日香港，明日台灣","2019-06-12T09:45:54.538Z"
"51","國台辦是什麼請估狗吧","2019-06-12T09:41:35.917Z"
"52","台當局清查赴陸科研人員 國台辦:機關算盡害人害己","2019-06-12T09:39:46.664Z"
"53","反送中警方未警告開槍<U+26A0><U+FE0F>","2019-06-12T09:35:16.856Z"
"54","《逃犯條例》拒絕讓步","2019-06-12T09:32:36.608Z"
"55","反送中遊行，有人右眼被打瞎了","2019-06-12T09:25:30.540Z"
"56","香港的現況","2019-06-12T09:21:55.535Z"
"57","#求幫推 香港反送中示威開槍！","2019-06-12T09:21:39.536Z"
"58","看微博對岸發表香港送中立場","2019-06-12T09:20:44.372Z"
"59","不知道反送中？韓國瑜：龍舟擊鼓聲讓我頭昏了","2019-06-12T09:17:32.531Z"
"60","台灣記者一個不懷好意的提問 耿爽怒斥:妖言惑眾","2019-06-12T09:15:38.020Z"
"61","我不知道該怎麼說韓總了…","2019-06-12T11:50:11.967Z"
"62","維尼的GG是有蜂蜜膩？","2019-06-12T11:49:58.062Z"
"63","韓：中華民國「地區」","2019-06-12T11:49:39.689Z"
"64","台灣基進力挺反送中 陳柏惟：帶給台灣對抗中國勇氣","2019-06-12T11:48:58.090Z"
"65","繼續關注反送中！！警察打人、開槍","2019-06-12T11:37:22.377Z"
"66","捍衛台灣美食，全國總動員！","2019-06-12T11:36:45.967Z"
"67","20190612秋行軍蟲記者會速記","2019-06-12T11:35:27.146Z"
"68","台灣朋友請幫忙轉發備份","2019-06-12T11:32:54.383Z"
"69","反送中，你真的知道是怎麼回事嗎？認同請+1、幫高調、分享","2019-06-12T11:31:54.447Z"
"70","拜託請看清楚香港政府，是怎樣對待香港人","2019-06-12T11:31:13.065Z"
"71","我這一生沒有被槍指著過。","2019-06-12T11:30:39.827Z"
"72","反送中事件是什麼？（3分鐘懶人包）","2019-06-12T11:27:49.350Z"
"73","李大芝爆氣～抗議政治阻撓新聞自由#反送中","2019-06-12T11:27:37.213Z"
"74","沈默的代價","2019-06-12T11:22:10.781Z"
"75","我決定要參選總統","2019-06-12T11:17:25.046Z"
"76","香港警察<U+0001F46E>，他們才是該被關心的人，給警察加油<U+0001F4AA>","2019-06-12T11:16:37.889Z"
"77","香港已經不安全了","2019-06-12T11:15:35.984Z"
"78","香港開始暴力鎮壓","2019-06-12T11:14:13.941Z"
"79","香港蘋果日報直播下的資訊轉發","2019-06-12T11:12:56.748Z"
"80","面對香港，中華民國政府應該這麼做","2019-06-12T11:09:11.494Z"
"81","中共支持的台灣總統候選人？","2019-06-12T11:08:19.047Z"
"82","關於香港暴動","2019-06-12T11:07:53.891Z"
"83","抖音上找不到六四 反送中","2019-06-12T11:00:53.802Z"
"84","中天不演了","2019-06-12T10:57:22.335Z"
"85","辛灝年—中共鎮壓台灣人將會比殺大陸人更嚴重","2019-06-12T10:56:03.285Z"
"86","我們的香港","2019-06-12T10:55:59.661Z"
"87","（#持續更新）勇敢的臺灣女孩","2019-06-12T10:53:57.434Z"
"88","今日香港明日台灣","2019-06-12T10:51:52.007Z"
"89","漠視才可怕 沒有人是局外人","2019-06-12T10:43:04.179Z"
"90","今日香港 明日台灣","2019-06-12T10:42:40.503Z"
"91","關於這樣的結果，你意外嗎","2019-06-12T13:02:41.481Z"
"92","MedPartner 美的好朋友之羅生門","2019-06-12T12:57:20.489Z"
"93","二更）這就是香港的警察！（含血腥畫面","2019-06-12T12:51:02.626Z"
"94","忘了分寸的一日 #被攝影耽誤的狗仔","2019-06-12T12:44:37.356Z"
"95","送中條例 連署","2019-06-12T12:37:23.076Z"
"96","愛台灣","2019-06-12T12:36:49.432Z"
"97","別成為下一個香港 林榮基的故事","2019-06-12T12:35:02.377Z"
"98","香港人：凡親中都是騙子","2019-06-12T12:34:30.807Z"
"99","在台港生跨海聲援反送中　柯文哲傍晚低調探訪、送熱飲","2019-06-12T12:33:59.474Z"
"100","香港送中條例到底哪裡不好?","2019-06-12T12:33:12.060Z"
